Kiedy pojawił się człowiek rozumny?,;Około 200 tysięcy lat temu,;Około 500 tysięcy lat temu,;20 tysięcy lat temu,;5 tysięcy lat temu
Kiedy były pczątki rolnictwa?,;Około 10 tysięcy lat p.n.e.,;Około 500 tysięcy lat temu,;20 tysięcy lat temu,;5 tysięcy lat temu
Kiedy był początek epoki żelaza?,;Około 1200 lat p.n.e.,;Około 500 tysięcy lat p.n.e,;Około 2000 lat temu,;Około 200 lat temu
Przodków dzisiejszego człowieka nazywaja się:,;Praludzie,;Pradziadkowe,;Potomkowie,;Prawnuki
Podaj nazwę wędrownego trybu życia.,;Koczowniczy,;Przechodzący,;Wędrowny,;Spacerujący
Co to jest rewolucja neolityczna?,;Proces przejścia człowieka z koczowniczego na osiadły tryb życia,;Rewolucja w wytopie żelaza,;Rewolucja społeczna,;Zmiana granic
Które słowa określają koczowniczy tryb życia?,;Jaskinie i zbieractwo,;Hodowla i rolnictwo,;Wytop żelaza i domy,;Uprawa zbóż i wędrówka
W jakim okresie w dziejach do wyrobu narzędzi używano kamieni?,;Epoka kamienna,;Epoka skórzana,;Epoka stali,;Epoka brązu
W jakiej epoce do wyrobu narzędzi zaczęto używać zelaza?,;Epoka żelaza,;Epoka narzędzi z żelaza,;Epoka początkowa,;Epoka zaawansowana
W jakiej epoce do wyrobu narzędzi zaczęto używać brązu?,;Epoka rązu,;Epoka kowalstwa,;Epoka wyrobów rzemieślniczych,;Epoka rozwinięta
Gdzie leżała Mezopotamia?,;Na Bliskim Wshodzie,;W Afryce,;W Europie,;Na Antypodach
Co to jest cywilizacja?,;Rozwinięte społeczeństwo z własnym państwem i miastami oraz posługujące się pismem,;Prymitywne państwo,;Miasto rzymskie,;Miasto z okolicą
Kto stworzył pierwszą cywilizację na terenie Mezopotamii?,;Sumerowie,;Arabowie,;Babilończycy,;Izraelici
Co to jest miasto-państwo?,;Niewielkie państwo składające się z miasta i jego okolicy,;Duże miasto,;Miasto posiadające granice,;Państewko
Jaki lud wymyślił   żagiel?,;Sumerowie,;Polacy,;Arabowe,;Chińczycy
Kto wymyślił koło?,;Sumerowie,;Grecy,;Ateńczycy,;Babilończycy
Kto opracował system liczenia liczbą 60 jako podstawą?,;Sumerowie,;Babilończycy,;Spartanie,;Grecy
Jak nazywa się sumeryjskie pismo?,;Klinowe,;Piktogramy,;Pismo obrazkowe,;Hieroglify
Jak nazywa się kilkupiętrowa sumeryjska świątynia?,;Zikkurat,;Partenon,;Akropol,;Pakkurat
Jakie funkcje pełnił król sumeryskiego miasta-państwa?,;Był królem i kapłanem,;Był królem i robotnikiem,;Pełnił funkcję króla i pasterza,;Był królem i namiestnikiem cesarza
Sumeryjskie miasto-państwo:, ;Ur,;Ateny,;Sparta,;Gur
Nad jakimi rzekami powstała Babilonia?,;Nad Trygrysem i Eufratem,;Nad Tamizą i Olzą,;Nad Gangesem i Brahmaputrą,;Nad Obem i Jenisiejem
Stolica Babilonii to:,;Babilon,;Ateny,;Budapeszt,;Sparta
Kto podbił sumeryjskie miasta-państwa?,;Hammurabi,;Maharadża,;Sumerowie,;Starożytni Grecy
Najstarszy babiloński zbiór praw to:,;Kodeks Hammurabiego,;Księga tysiąclecia,;Prawa obywatelskie,;Tablice prawne
Kiedy powstało państwo Egipskie?,;Około 3000 lat p.n.e.,;Około 20000 lat p.n.e.,;Około 2000 lat temu,;Około 200 lat temu
W dolinie jakiej rzeki powstało państwo egipskie?,;Nilu,;Gangesu,;Brahmaputry,;Irtysza
Kto był najważniejszą osobą w starożytnym Egipcie?,;Faraon,;Kapłan,;Matka faraona,;Król
Kim byli doradcy faraona?,;Kapłanami,;Sekretnymi sługami,;Starożytnymi Grekami,;Bogatymi rzemieślnikami
Co to jest politeizm?,;Wiara w wielu bogów,;Wiara w jednego boga,;Małżeństwo faraonów,;Mieszanina narodów
Jak nazywał się bóg Słońce w starożytnym Egipcie?,;Ra,;Wisznu,;Sziwa,;Budda
Piramidy to:,;Grobowe faraonów,;Zwoje pism,;Pomocnice faraona,;Staregipskie rzeźby
Jak się nazywa pismo obrazkowe opracowane przez Egipcjan?,;Hieroglify,;Papirusy,;Pismo klinowe,;Piktogramy
Co zawdzięczamy starożytnym Egipcjanom?,;Kalendarz z podziałem roku na 365 dni,;Pismo klinowe,;Proch strzelniczy,;Zikkurat
